Date,Gross sales,Refunds,Discounts,Net sales
11/28/25,16149914.798741505,0,76865.70417149924,16073049.094570003
11/27/25,12163942.671388283,0,230774.49179405812,11933168.179594224
11/26/25,11509399.271367174,64960,154635.27346582152,11239329.53037274
11/25/25,12877101.025135573,15000,129266.76308934111,12718231.186529588
11/24/25,17107204.25629231,249860,192015.9479160793,16330101.66512853
11/23/25,17470296.26852837,406025,135937.2699696105,16321626.337285157
11/22/25,4858409.496876475,56000,51807.36055190209,4701103.5112007
11/21/25,16012555.21189017,84000,109475.27743806131,15696429.972546555
11/20/25,9831022.623007651,0,17876.39228347689,9813146.230724175
11/19/25,8008276.12877069,33000,111751.35033437982,7844215.635726601
11/18/25,11303605.494750243,118250,100004.50322194956,10996135.50896697
11/17/25,13448437.461736044,0,152471.74965299666,13295965.712083047
11/16/25,12955857.620985778,782300,46063.11103980988,11376382.945416467
11/15/25,13471914.284764048,0,289846.150966594,13182068.133797456
11/14/25,6477140.955543886,0,19551.370524801314,6457589.585019085
11/13/25,8386812.144529103,0,51208.58881564345,8335603.55571346
11/12/25,10987521.400099346,0,60857.68050700426,10926663.719592342
11/11/25,8097944.543402443,0,270420.80525927944,7827523.738143164
11/10/25,18238198.72374076,0,198178.89984883368,18040019.823891927
11/9/25,8996971.503027597,0,46813.229204621166,8950158.273822976
11/8/25,6337156.665926077,134380,180325.50651754718,5860413.525575772
11/7/25,6440554.030012814,0,42257.95714650303,6398296.072866311
11/6/25,12143448.364600345,0,1064035.7503737044,11079412.614226641
11/5/25,31259318.97251402,1000000,10493334.71385495,18403820.287015174
11/4/25,19906983.019122563,0,160521.01995283738,19746461.99916973
11/3/25,6805918.307754396,0,88477.79989661649,6717440.50785778
11/2/25,18276052.491316117,0,337937.2839096468,17938115.20740647
11/1/25,6380093.875748105,0,42816.28717435524,6337277.58857375
10/31/25,8859296.836286083,22000,60631.46775972564,8744220.785231909
10/30/25,13510797.852743957,133000,95712.65126625076,13138350.796729634
10/29/25,8690659.4785483,6000,27591.382827609777,8650333.611338716
10/28/25,21390306.98018223,30475,325193.1934431195,20990879.610183463
10/27/25,17276962.477506492,0,131274.4513771031,17145688.026129387
10/26/25,6945861.519145679,96380,8553.616356803104,6772428.39389514
10/25/25,11629756.08315349,0,1703717.8083059401,9926038.27484755
10/24/25,15030040.4678439,2000,305533.7704612175,14719996.973833438
10/23/25,6927287.615373999,62900,55043.68011187762,6770413.127055148
10/22/25,7121452.625609818,0,138595.55834520143,6982857.0672646165
10/21/25,11020517.973071905,400000,277616.6218512226,9941120.493888631
10/20/25,14794554.86269994,0,944511.5651136078,13850043.297586333
10/19/25,10075239.060579121,0,56161.21819103137,10019077.84238809
10/18/25,14666181.61456123,0,3199836.2132106908,11466345.40135054
10/17/25,14282315.695152154,0,65613.9384994749,14216701.75665268
10/16/25,14871812.392264837,0,174160.99656838924,14697651.395696448
10/15/25,12680691.727688037,5000,34748.942703707144,12637669.227197733
10/14/25,11845047.43935846,0,146321.8867649557,11698725.552593503
10/13/25,15053148.412089236,483200,86380.04927709699,14106173.727540113
10/12/25,12558300.81379547,23000,110724.03666959144,12402898.657066219
10/11/25,11199336.473761197,0,1178127.7121923584,10021208.761568837
10/10/25,7764050.012978995,0,93572.83480209298,7670477.178176902
10/9/25,13102421.249746472,22000,40034.853266668506,13019422.163705818
10/8/25,22804068.26449314,0,108681.70914414804,22695386.555348996
10/7/25,11133821.366626555,0,969486.1354957893,10164335.231130766
10/6/25,11673785.035451839,0,120526.69952868018,11553258.335923158
10/5/25,17207265.694360502,0,81533.34949119017,17125732.344869312
10/4/25,6993196.916675607,0,22342.13847736828,6970854.778198238
10/3/25,10287723.865904426,0,1244646.3459235383,9043077.519980889
10/2/25,12784508.198695444,0,22234.179485589266,12762274.019209854
10/1/25,14901100.583468622,0,78360.04454514477,14822740.538923478
9/30/25,9060210.589745758,0,16072.704988298938,9044137.88475746
9/29/25,16089438.248204255,0,186334.0741773136,15903104.174026942
9/28/25,8425811.947342362,0,51937.252482399344,8373874.694859963
9/27/25,8653052.080935076,0,961586.7509849486,7691465.329950128
9/26/25,10855204.082313087,0,33645.27129475027,10821558.811018337
9/25/25,11231305.346596353,327225,81705.38931980263,10609477.815454885
9/24/25,10889072.611704253,0,11472.314659622498,10877600.297044631
9/23/25,11992925.758042645,0,156905.09752649814,11836020.660516147
9/22/25,10903613.509356827,0,212315.74418395758,10691297.765172869
9/21/25,12552398.920657594,243100,87963.1414054893,12057124.547334496
9/20/25,9902700.214529328,24255,11884.817696874961,9838403.350789234
9/19/25,8690638.325540517,48000,61479.06362824142,8548310.082346369
9/18/25,14055385.0854392,94000,910067.3893068451,12963110.380701378
9/17/25,17048651.030335892,104940,206858.21847617626,16615670.921787946
9/16/25,15341976.623692483,0,288438.6331967544,15053537.990495728
9/15/25,13336180.8759528,0,1560360.7895167428,11775820.08643606
9/14/25,17545952.847395793,0,43778.33571634255,17502174.51167945
9/13/25,12209341.012973195,140000,126058.91111504752,11770923.738033252
9/12/25,9945001.209322466,121465,60748.11036512256,9690074.961444195
9/11/25,16549696.394609254,0,46872.963887639344,16502823.430721615
9/10/25,11046409.745381493,0,180842.22743380815,10865567.517947685
9/9/25,6825152.653682837,0,904295.7951762713,5920856.858506566
9/8/25,12934904.298448507,2000,656834.4435858727,12274174.963712338
9/7/25,10403962.754615061,0,873166.7108019441,9530796.043813117
9/6/25,11015845.115173904,0,51797.8836055845,10964047.23156832
9/5/25,18968706.680952147,0,89114.34726510197,18879592.333687045
9/4/25,15162986.08064406,0,1191758.8094430265,13971227.271201033
9/3/25,23923614.65872224,171080,1231672.3043912149,22292842.969255503
9/2/25,17023390.045511145,0,45835.270023322664,16977554.77548782
9/1/25,18130305.2787074,0,196732.64453513548,17933572.63417226
8/31/25,16475498.584562179,22000,36839.87400995102,16394849.130648501
8/30/25,15387598.688466355,151500,79386.36827282608,15007536.450360201
8/29/25,19516855.283124603,5000,126758.31391685642,19378977.818864163
8/28/25,18255824.84364345,0,622220.9600016614,17633603.883641787
8/27/25,21534652.157767706,375000,567821.7339535849,20087450.10568166
8/26/25,17302815.02821742,660930,205205.6909025414,15881227.298855536
8/25/25,12328685.129564395,0,695436.107683219,11633249.021881176
8/24/25,15366395.328679979,0,172298.5963737592,15194096.73230622
8/23/25,9180290.299897052,0,146549.37029094435,9033740.929606108
8/22/25,11797027.335863777,0,918481.4383090194,10878545.897554757
8/21/25,16896534.00265757,0,1219618.171220133,15676915.831437437
8/20/25,16378211.706184944,0,110600.67461442668,16267611.031570517
8/19/25,11611474.3222503,65675,151240.05122110248,11332892.086876044
8/18/25,13901222.71436408,61000,150869.23314910382,13643341.583283635
8/17/25,15776799.934851734,6000,179837.88322180044,15585039.098046167
8/16/25,8059141.8087736145,0,27866.733197355643,8031275.075576259
8/15/25,13775376.754543439,0,43487.43856535293,13731889.315978086
8/14/25,14768919.170089047,0,167477.93036699295,14601441.239722054
8/13/25,10283479.163170064,0,63691.80106557906,10219787.362104485
8/12/25,13810405.80356489,0,113914.59381440654,13696491.209750483
8/11/25,14830283.817314357,0,806766.2125114352,14023517.604802921
8/10/25,18520025.401188392,0,353935.82704104483,18166089.574147347
8/9/25,9891135.65095301,0,12504.302690504119,9878631.348262506
8/8/25,13955477.507189358,0,88641.20357867796,13866836.303610679
8/7/25,14270000.030810425,10500,116868.6503469944,14133957.617515877
8/6/25,12154127.898667298,0,9255.131492391229,12144872.767174907
8/5/25,14048899.686881125,107400,94514.79240588378,13690725.447607918
8/4/25,21621712.298879754,0,1718048.8199655712,19903663.478914183
8/3/25,8969603.619797984,386980,246667.40593733266,7910550.233012745
8/2/25,8902499.686572637,0,35950.055005727336,8866549.63156691
8/1/25,13193777.27759158,0,423926.3996880385,12769850.877903542
7/31/25,9985100.003625162,261000,105489.08116237726,9416877.305935381
7/30/25,12112230.116443222,0,280413.53443980915,11831816.582003413
7/29/25,13204783.862112649,47700,117726.88963264227,13003242.455532588
7/28/25,19799650.234961882,0,375200.13516768813,19424450.099794194
7/27/25,9494946.668637361,0,95911.26485029235,9399035.403787069
7/26/25,7192238.983933074,0,41543.596041738056,7150695.387891336
7/25/25,9449980.123773264,0,73568.55357578024,9376411.570197484
7/24/25,15790178.666915704,0,640279.114703578,15149899.552212125
7/23/25,11174692.472271541,0,211187.77279823553,10963504.699473305
7/22/25,11584388.298879378,0,77185.46215584502,11507202.836723533
7/21/25,15883640.315302279,0,301093.16867380403,15582547.146628477
7/20/25,11412946.952285819,0,198285.91930959374,11214661.032976225
7/19/25,7946556.922323398,0,60580.18075756263,7885976.741565837
7/18/25,12145879.020393662,0,226882.13739097235,11918996.88300269
7/17/25,8384780.739223052,0,506165.0771271356,7878615.6620959155
7/16/25,16589133.230594167,0,1849212.1400150447,14739921.090579122
7/15/25,19126743.628411613,0,1775735.6287167408,17351007.999694873
7/14/25,19196443.38220176,0,297665.42692203075,18898777.95527973
7/13/25,13462220.938487181,158060,245743.78232192248,12903233.105892653
7/12/25,12693249.959093977,0,256209.7353459103,12437040.223748067
7/11/25,11174488.383379238,0,43767.81278627459,11130720.570592962
7/10/25,11811137.132445302,0,469914.25124093425,11341222.881204367
7/9/25,12146144.494822355,0,99483.01093385089,12046661.483888503
7/8/25,10905023.031103928,0,79904.95027205907,10825118.080831869
7/7/25,13214113.173987232,0,123130.19577035215,13090982.97821688
7/6/25,13302246.719594229,123410,493551.5734492801,12596467.96956176
7/5/25,6811425.148098486,0,55434.52727550175,6755990.620822983
7/4/25,9597902.552068772,0,65226.4234215254,9532676.128647247
7/3/25,10585629.514205147,80000,552984.9666922819,9872937.697926646
7/2/25,22475647.359240014,0,1252406.7779575987,21223240.581282414
7/1/25,9160495.641612303,0,159601.88331257086,9000893.75829973
6/30/25,11456886.176939014,0,187000.48801722005,11269885.688921794
6/29/25,13992535.21704261,58600,1164755.6992525468,12698484.795349829
6/28/25,8167319.417389749,0,495134.82067847624,7672184.596711272
6/27/25,8405444.099758822,20000,67140.94563527033,8298808.480220452
6/26/25,9481477.440881416,0,499204.7075245029,8982272.733356914
6/25/25,11853190.752244083,284900,10211.61753393244,11314017.34645245
6/24/25,10013419.9780998,0,39965.09387018159,9973454.884229619
6/23/25,7055304.497326292,0,63580.7446903782,6991723.752635914
6/22/25,10007998.067848189,0,110800.0305193523,9897198.037328836
6/21/25,6318635.53259192,0,51701.8607648788,6266933.671827042
6/20/25,15667941.162391368,0,1943551.434019038,13724389.72837233
6/19/25,12675211.541717947,160000,3944.01353597641,12355746.445303857
6/18/25,9711718.306227036,0,66539.63371692225,9645178.672510114
6/17/25,14408491.615880467,0,92994.80837071314,14315496.807509754
6/16/25,11193572.719066052,0,93028.0124230776,11100544.706642974
6/15/25,9100453.488486296,176040,81073.3285266906,8695013.14282691
6/14/25,8661303.95030776,0,195205.61111764982,8466098.33919011
6/13/25,10107891.225980083,39950,42560.64479006454,9978135.824299604
6/12/25,9866971.747203095,74500,125991.15477176383,9614138.146073272
6/11/25,12996714.087509224,0,138092.5260297954,12858621.561479429
6/10/25,8058347.26991788,61650,96670.34233687446,7858029.508362426
6/9/25,9309771.443418339,62440,144294.76899281144,9052146.292338595
6/8/25,15427007.195311096,0,36936.64948642254,15390070.545824673
6/7/25,12568693.501970643,0,463434.2815564014,12105259.220414242
6/6/25,4283605.275206193,0,482063.6825042963,3801541.592701897
6/5/25,7150385.312717925,0,116557.91445937939,7033827.398258545
6/4/25,19682893.80381104,27500,845515.4634188116,18771858.51610228
6/3/25,11999695.110517636,0,527621.7124976416,11472073.398019996
6/2/25,17477633.08814385,44200,89020.36442002282,17294929.387834188
6/1/25,11863580.270543376,0,40774.41222500056,11822805.858318375
